"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes","tipo"
"Santa_Inês","ifbaiano.santaines","DSIqhzmAUNY","11/12/2025 00:00","""29 likes, 0 comments - ifbaiano.santaines on December 11, 2025: '⚠️ RETIFICAÇÃO IMPORTANTE: EDITAL Nº 47/2025 ⚠️ Atenção ingressantes 2026 dos Cursos Técnicos ...""","https://www.instagram.com/p/DSIqhzmAUNY/","","3","12","Post"
"Teixeira_de_Freitas","ifbaianoteixeiradefreitas","DQ7zOTLEvz5","11/11/2025 00:00","""O Instituto Federal Baiano – Campus Teixeira de Freitas divulga a lista de inscrições homologadas e a convocação para entrevistas do Edital nº 24/2025 – ...""","https://www.instagram.com/p/DQ7zOTLEvz5/","","1","11","Post"
"Uruçuca","ifbaiano_urucuca","DQRW8BrgCe_","26/10/2025 00:00","""... popularizarem e divulgarem ciência, tecnologia e inovação junto com o @ifbaiano_urucuca no 3° @cacau500_ #valedasustentabilidade #feirasdeciencias #cop30 ...""","https://www.instagram.com/p/DQRW8BrgCe_/","","6","10","Post"
"Xique_Xique","ifbaiano.xiquexique","DPxDmJWCX2r","13/10/2025 00:00","""82 likes, 6 comments - ifbaiano.xiquexique on October 13, 2025: ' Vaga para Professor(a) Substituto(a) - Letras (Língua Portuguesa) O Instituto Federal ...""","https://www.instagram.com/p/DPxDmJWCX2r/","","0","10","Post"
"Itaberaba","ifbaiano.itaberaba","DOmM6EFD7CK","14/09/2025 00:00","""232 likes, 12 comments - ifbaiano.itaberaba on September 14, 2025: ' ✨ Nosso Campus brilhou na MOBFOG 2025! Entre os dias 09 e 11 de setembro, estudantes e ...""","https://www.instagram.com/p/DOmM6EFD7CK/","","6","9","Post"
"Catu","ifbaianocampuscatu","DOO2bMUjgc5","05/09/2025 00:00","""Instagram: @ifbaianocampuscatu Site: https://lingresso.ifbaiano.edu.br/concursos/sisu-2026/catu/ Dúvidas? Entre em contato: (71) 98274-0960""","https://www.instagram.com/p/DOO2bMUjgc5/","","4","9","Post"
"Governador_Mangabeira","ifbaiano.govmangabeira","DKen1v4sxo-","04/06/2025 00:00","""36 likes, 0 comments - ifbaiano.govmangabeira on June 4, 2025: '✨ Tem novidade importante chegando! O Senado aprovou o projeto de lei que substitui o antigo ...""","https://www.instagram.com/p/DKen1v4sxo-/","","2","6","Post"
"Itapetinga","ifbaiano_itapetinga","DIn5XJTu_PH","19/04/2025 00:00","""O LibrasInterConect é um projeto de Pesquisa, Inovação Tecnológica e Extensão do @ifbaiano_itapetinga, que é coordenado pelo professor @aisamaque.gomes que ...""","https://www.instagram.com/p/DIn5XJTu_PH/","","5","4","Post"
"Alagoinhas","ifbaiano_alagoinhas","DHEriW6uLts","11/03/2025 00:00","""@ifbaiano_alagoinhas. Audiodescrição :A imagem é um cartaz de divulgação para a sala temática com o subtema chamado 'Cyberpoética dos Corpos Modificados'. O ...""","https://www.instagram.com/p/DHEriW6uLts/","","1","3","Post"
"Bom_Jesus_da_Lapa","ifbaiano_lapa","DGmH8yMgHG1","27/02/2025 00:00","""Aula prática da disciplina: Física do solo ⚙️ Ministrada pelo professor: @antonioheldersampaio “Mais do que teoria, é no contato com o solo que o ...""","https://www.instagram.com/p/DGmH8yMgHG1/","","3","2","Post"
"Serrinha","ifbaianoserrinha","DGlftITSZPK","27/02/2025 00:00","""O IF Baiano informa que o Ministério da Educação (MEC) iniciou o pagamento dos incentivos previstos no Programa Pé-de-Meia, sendo: Incentivo Conclusão, no valor ...""","https://www.instagram.com/p/DGlftITSZPK/","","3","2","Post"
"Guanambi","ifbaianoguanambi","DFpoQxPuvby","04/02/2025 00:00","""821 likes, 5 comments - ifbaianoguanambi on February 4, 2025: '** IF Baiano Campus Guanambi recebe cerca de 500 novos alunos!** Nesta segunda-feira, 3, ...""","https://www.instagram.com/p/DFpoQxPuvby/","","1","2","Post"
"Valença","ifbaiano_valenca","DEzbVU1uRgn","14/01/2025 00:00","""Nesta segunda-feira (26) em Ituberá-Ba, a turma da Pós Graduação em Agroecologia e Meio Ambiente do @ifbaiano_valenca participou de uma imersão no programa ...""","https://www.instagram.com/p/DEzbVU1uRgn/","","1","1","Post"
"Reitoria","ifbaiano","DEgsSt-Ox_U","06/01/2025 00:00","""As inscrições para cada edital são gratuitas e podem ser feitas de até 03/01/2025 para coordenador e professor formador e até 06/01/2025 para tutor, através de ...""","https://www.instagram.com/p/DEgsSt-Ox_U/","","0","1","Post"
